Társasjáték neve,Társasjáték ID,Alapjáték?,"Az alapjáték, ha kiegészítő lenne",Az alapjáték iD-ja,A Játék nyelve,A játék nyelvüggetlen,Van hozzá magyar szabály,Minimális játékosszám,Maximális játékosszám,Kiadás éve,Kiadó,Megjegyzés,Szerző
tarsasjatekNev,tarsasjatekID,alapjatek,alapjatekNev,alapjatekID,jatekNyelv,nyelvfuggetlen,magyarJatekszabaly,minJatekos,maxJatekos,kiadasEv,kiado,megjegyzes,szerzo
Kockanári,094,igen,,,magyar,igen,igen,2,5,,Reflexshop,,
Kubb,095,igen,,,angol,igen,igen,2,10,,Bex,,
KuZOOkA,096,igen,,,angol,nem,igen,2,6,,,,
Kütyük,097,igen,,,magyar,igen,igen,2,4,,Delta Vision,,
Labyrinth: Das verrückte Labyrinth,098,igen,,,német,igen,igen,2,4,,,,
Latin kártya (Scopa),099,igen,,,magyar,igen,igen,2,4,,,,
Liget,100,igen,,,magyar,igen,igen,1,1,,,,
Macska Mancs Brancs,101,igen,,,magyar,igen,igen,1,+,,,,
Macskafogó,102,igen,,,magyar,igen,igen,2,4,,Novoplast,,
Magyar népmesék – A kártyajáték,103,igen,,,magyar,igen,igen,2,8,,,,Lenhard Balázs
Magyar népmesék: A társasjáték,104,igen,,,magyar,nem,igen,2,6,,,,
Magyar népmesék: Hetedhét mese,105,nem,Magyar népmesék: A társasjáték,104,magyar,nem,igen,2,6,,,,
Mahjong,106,igen,,,magyar,igen,igen,3,4,,,,
Mandala kövek,107,igen,,,magyar,igen,igen,2,4,,,,
Második esély,108,igen,,,magyar,igen,igen,1,6,,compaya.hu,,Uwe Rosenberg
Menara,109,igen,,,angol,igen,igen,1,4,,,,
Menara: Rituals & Ruins,110,nem,Menara,109,angol,igen,igen,1,4,,,,
Mesebeli Birodalmak,111,igen,,,magyar,nem,igen,2,6,,,,
Mesterlogika,112,igen,,,magyar,igen,igen,2,2,,,,
Mikádó,113,igen,,,magyar,igen,igen,1,4,,,,
Mölkky,114,igen,,,magyar,igen,igen,1,100,,Tactic,,
Munchkin,115,igen,,,magyar,nem,igen,3,6,2022,Delta Vision,Nyolcadik kiadás,
